T,TM,Tm,H,VV,V,VM,PM2.5
14.6,23,8,69,0.6,3.1,14.8,284.79583333333335
14.6,22.2,7.9,64,1,5,16.5,219.72083333333333
13.8,22.2,8,68,1,5.7,14.8,182.1875
18.2,25,12,75,0.5,3.5,11.1,154.03750000000002
14.3,19.4,10,89,0.3,7.6,14.8,223.20833333333334
14.6,22.1,8,67,1.4,9.6,24.1,200.64583333333337
16.1,22,13,81,0.6,9.3,20.6,285.22499999999997
14.1,19.1,10,83,0.6,7.4,13,236.82499999999996
12.5,16.2,9.6,83,1.3,13,18.3,276.90833333333336
10.4,16.2,7,91,0.5,6.9,13,108.0
9.7,14.4,7,87,0.5,8.3,13,107.625
10.2,16.4,3,78,1,7.8,14.8,125.89166666666667
10.6,17.2,6,75,1,6.9,11.1,181.01250000000005
13.9,22.7,7.4,69,1,5.6,11.1,152.55416666666667
16.4,23.8,10,65,1.3,5.6,11.1,152.32083333333335
16.6,22.2,10,75,1.3,10,20.6,319.7375
14.7,22.9,8,61,2.1,9.4,18.3,332.7083333333333
14.6,22.2,7,52,2.6,9.6,20.6,279.59999999999997
14,22.3,7,55,2.3,11.1,22.2,179.11666666666667
16.4,22.4,9,69,1.4,7.8,14.8,54.791666666666664
15.5,23.6,9,68,1.6,8,16.5,93.375
15.4,24.4,8,72,1.1,6.5,16.5,103.0
16.3,26.7,11,56,2.3,10.4,20.6,132.20833333333334
17.3,24.8,9.7,57,1.9,10,16.5,127.70833333333333
16.5,23,10.9,58,1.8,6.9,18.3,109.33333333333333
22.2,29.8,15,65,1.3,6.3,13,56.458333333333336
21.9,28.2,16,72,1.4,13,20.6,135.83333333333334
18.4,27,11,62,2.4,15.2,24.1,122.5
21.6,32.2,12,44,3.1,9.3,16.5,69.66666666666667
22.8,31.9,14.5,42,2.7,7.2,16.5,79.83333333333333
21.9,29.9,14.4,49,2.3,4.3,11.1,62.708333333333336
24.1,32.2,16.4,51,1.9,3.7,11.1,1.9166666666666667
25,33.8,16.4,45,2.1,5,11.1,1.8333333333333333
25.6,34.6,17.1,46,2.1,8.7,18.3,1.7916666666666667
22.4,29.8,16,65,2.1,10.7,20.6,117.58333333333333
22.3,30,16,59,2.7,8.5,16.5,122.70833333333333
22.8,30.4,15.8,54,2.1,8.9,20.6,76.54166666666667
23.7,29.4,17.7,59,3.4,10.7,20.6,59.208333333333336
21.6,29.2,16,54,3.1,8.3,20.6,77.20833333333333
22.6,31,15,53,3.1,11.1,22.2,87.83333333333333
25.8,35,19.4,50,2.7,8.5,27.8,123.70833333333333
26.6,35,19.6,46,2.4,10.2,18.3,64.79166666666667
24.9,34.5,18.7,34,4,16.7,24.1,62.875
29.3,38.4,19,34,2.7,10.4,20.6,52.041666666666664
24.1,28.1,19.4,53,3.4,14.3,24.1,128.33333333333334
25.5,34,17,39,3.4,8.9,18.3,87.58333333333333
30.4,40,20.4,30,2.6,7.8,16.5,23.208333333333332
30.8,39.2,21,30,3.1,11.5,24.1,15.166666666666666
31.4,41.2,22,32,3.7,6.3,20.6,21.25
33.4,43,25.1,30,2.6,7.8,18.3,25.75
27.3,37,20,36,2.9,11.9,22.2,105.33333333333333
29,38,19.5,26,3.4,6.7,13,117.75
31.3,38.4,20.6,22,2.7,9.6,18.3,20.791666666666668
30.4,39,21,22,3.1,13.7,29.4,46.916666666666664
32.7,41,22,20,3.4,9.6,20.6,104.625
33.9,42.2,22.4,19,2.9,9.1,22.2,109.625
33.3,41,23,20,3.5,12,24.1,30.875
33.2,41,24.2,23,2.9,9.1,20.6,75.58333333333333
30.9,38.3,22,18,3.2,8.5,22.2,106.95833333333333
32.5,42.2,23,18,2.4,5.4,22.2,0.0
33.3,43,23,16,2.6,8.3,22.2,0.0
33.6,42,23,15,2.4,9.1,22.2,38.5
34.6,44.2,24,13,2.7,7,18.3,142.5
37.7,46.2,26.8,12,2.9,9.6,22.2,133.375
34.7,46.2,29,20,2.9,10.4,14.8,102.41666666666667
33.7,40.7,24.8,29,3.2,8.5,14.8,158.29166666666666
33.7,40.9,26.4,33,3.2,12.6,20.6,149.58333333333334
32.8,40.2,28.4,38,3.4,14.8,24.1,107.29166666666667
36,44.5,27.8,28,3.5,9.8,37,106.5
36.8,44,28,26,3.4,6.5,13,128.125
37.8,44.4,28.5,20,3.4,5.9,14.8,108.0
36.6,46.4,29.8,34,3.7,13.9,24.1,98.41666666666667
36.6,43.5,30.8,43,3.9,13,22.2,94.375
36.1,44.2,29,46,3.1,15,20.6,118.5
30.9,39.2,26.7,49,2.9,9.3,18.3,110.41666666666667
35.4,41,26.5,39,2.4,6.5,20.6,95.83333333333333
37,42.2,30.5,28,2.3,13.5,24.1,93.5
31.9,39,24.6,49,3.1,9.8,22.2,38.666666666666664
34.4,40.8,25.6,40,3.1,9.8,20.6,45.375
37.3,43.8,29.8,28,2.9,10.4,22.2,65.16666666666667
38.6,46,29,27,3.2,8,22.2,67.08333333333333
33.4,39.2,28.4,45,3.4,13.7,27.8,77.66666666666667
36.2,42.2,29.6,36,3.2,13.1,20.6,70.25
34.6,43.2,28.4,35,3.2,12,22.2,75.125
33.7,41.8,25,46,2.9,13.7,37,77.0
31.7,36.1,25,61,3.2,11.9,27.8,32.958333333333336
34.4,40,29.4,50,2.7,13.1,20.6,40.833333333333336
34.9,41.2,29.8,54,3.7,15,24.1,90.70833333333333
30.3,41.2,27,72,3.2,12.6,22.2,97.29166666666667
31.5,39,27,66,3.9,12.6,18.3,79.83333333333333
34.1,40.8,30.8,59,3.1,12.4,27.8,40.375
34.1,39.4,29.1,59,3.2,12,18.3,49.416666666666664
33.2,40.2,25.2,62,2.9,13.9,22.2,43.666666666666664
31.8,38,25,70,3.2,11.9,18.3,0.0
28.6,37.6,24.7,75,3.2,8.9,18.3,29.666666666666668
28.9,32.5,26,79,2.7,7.2,16.5,47.75
33.2,37.8,28.8,66,3.5,10.6,16.5,43.666666666666664
30.6,36.8,28,74,3.4,7,14.8,29.833333333333332
32.2,37.6,28,69,3.5,7.8,18.3,29.666666666666668
30.7,36.2,26.3,79,2.9,7.8,16.5,37.625
29.6,37,26.4,82,2.6,7.4,22.2,41.458333333333336
30.2,33.4,25.7,82,3.4,9.3,16.5,53.125
31.4,36,26,77,3.7,10.7,16.5,36.0
32.7,38.3,28.6,66,4,10.7,24.1,70.58333333333333
33.7,38.3,28.2,60,3.7,10.6,20.6,52.458333333333336
31.9,36.2,27.6,71,2.7,7,14.8,38.25
29.6,36.2,27,78,2.4,11.7,18.3,26.583333333333332
27.9,32.5,26.6,88,1.9,9.4,27.8,57.583333333333336
28.6,32,25.9,86,2.4,6.9,13,41.375
28.4,32,26.4,85,2.6,9.8,22.2,25.541666666666668
29.3,35.2,25.8,80,2.9,8.3,22.2,28.375
32,35.2,25.6,65,4,10.4,18.3,40.333333333333336
32.2,36.8,26.3,67,3.7,11.1,18.3,35.375
31.9,36.5,28.2,69,4.2,11.9,18.3,31.916666666666668
30.1,36.2,27.8,79,3.2,11.5,18.3,36.791666666666664
29.4,33.9,25.2,82,2.6,5.4,18.3,26.833333333333332
28.9,32.2,25,84,2.4,7.6,18.3,21.125
30.6,35,27,76,3.9,13.5,20.6,18.0
31.5,34.8,26.6,70,3.4,6.5,14.8,43.583333333333336
30.9,35.4,27,72,3.9,12.8,18.3,46.041666666666664
29.6,36,25.8,72,4,11.3,18.3,28.75
29.8,34.4,26.3,82,3.7,5.7,16.5,64.91666666666667
30.3,37.4,26.4,77,3.2,8.1,27.8,30.666666666666668
30.9,36.2,25.6,72,4,8.3,14.8,31.75
26.9,33.2,24,87,2.6,9.3,14.8,33.166666666666664
27.7,31,25.2,88,2.6,3.9,11.1,30.625
29.3,33.7,25.1,78,3.2,12.8,40.7,30.333333333333332
29.6,34,24.6,74,3.9,10.9,20.6,31.75
29.8,35,24.5,68,4.5,11.5,18.3,0.0
30.6,35.5,25,61,5,11.1,18.3,0.0
30.4,35.8,25.2,64,5,10.9,16.5,0.0
30.3,37.4,26,65,4.7,9.3,13,83.45833333333333
30.2,35,24.5,69,3.9,4.8,13,71.66666666666667
31.5,37,26.4,61,3.5,5.6,14.8,65.625
31.5,37.4,26.2,59,3.5,4.6,11.1,62.375
32.3,38,25.4,54,2.9,6.1,11.1,24.875
31.1,37.8,26.8,64,2.9,9.8,18.3,37.333333333333336
30.4,35.4,25.4,65,3.1,4.8,9.4,41.5
30.5,36,25.6,66,3.1,6.7,11.1,38.791666666666664
31.1,37.2,25.6,62,3.4,6.1,11.1,48.916666666666664
31.8,37.2,26.5,64,2.9,5.6,11.1,26.666666666666668
31.9,37.2,27.3,66,3.7,5.7,14.8,29.0
32.5,37.6,27.6,63,2.7,6.7,14.8,34.25
30,35.6,24,64,2.6,6.3,16.5,60.541666666666664
30.2,36.2,24,58,2.9,6.7,20.6,41.583333333333336
30.2,36,23.6,59,2.7,4.6,11.1,50.916666666666664
27.9,36,20.8,41,3.5,8.9,22.2,82.83333333333333
28.2,36,20.4,41,3.9,7.8,16.5,95.25
26.8,35.8,18.8,44,2.7,5.7,14.8,115.83333333333333
27.3,35.8,18,38,2.9,4.4,14.8,136.70833333333334
26.7,35.6,19,38,3.2,5.4,18.3,160.66666666666666
27.4,35.6,19.6,39,3.7,7,18.3,173.58333333333334
25.7,33.2,19,47,3.2,8,20.6,261.6666666666667
26.3,34.7,19,46,2.4,5.6,16.5,272.4166666666667
24.8,33.2,18,48,1.6,5.6,18.3,226.29166666666666
23.2,33.1,16.9,58,1.1,2.4,9.4,99.70833333333333
23.1,30.4,16,55,0.8,3,9.4,217.375
21.4,29,17,71,0.3,1.9,7.6,309.375
23.3,30.5,16.1,60,0.6,1.7,9.4,166.91666666666666
21.6,29,15.2,56,0.5,9.1,14.8,278.0
21.1,29,14,51,0.8,8.7,22.2,192.33333333333334
20.6,30,13,47,0.6,5.4,14.8,235.33333333333334
22.6,29.8,16,49,1.6,3.5,11.1,221.54166666666666
20.2,29.8,13.9,49,1.1,4.3,13,210.54166666666666
19.1,27.5,12,50,1.1,5.9,14.8,251.20833333333334
21,29.8,12.6,47,1.1,4.4,11.1,194.70833333333334
21.3,30.8,13,48,1.1,1.7,9.4,250.875
21,30.2,12.4,46,2.1,6.5,22.2,274.875
21.3,30.2,14,41,2.7,12,20.6,160.0
20.2,30.4,13,41,2.6,12,18.3,217.91666666666666
20.1,28.4,12,39,2.3,5.6,16.5,184.20833333333334
19.1,26.6,13,81,0.6,3.1,11.1,176.375
16.5,25.8,12,87,0.5,3.9,11.1,185.95833333333334
17.3,26.2,10,59,1.6,3.1,11.1,195.375
16,24,11,83,0.3,3.3,9.4,365.2916666666667
16.3,25.6,10,76,0.8,3.1,7.6,312.2083333333333
17.9,27.2,9.5,66,1.1,4.3,9.4,237.625
17.9,26.3,12,61,1.3,3.7,11.1,202.875
16.1,23.3,11,70,1.3,8.1,13,260.1666666666667
15.8,24.4,10,59,2.1,5.7,16.5,403.9583333333333
14.4,22.8,7.6,71,1.1,9.4,16.5,284.1666666666667
15.5,24,8.4,67,1.3,13.3,22.2,288.4166666666667
16.2,25,9,56,1.8,10,20.6,256.8333333333333
13.7,25.2,10,92,0.5,10.4,14.8,169.0
14.4,23,8,76,0.8,9.4,16.5,186.04166666666666
14.3,23,7,67,0.8,4.3,16.5,185.58333333333334
